joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
ถ้าเธออยากฝันดี แนะนำให้ฝันถึงเรา
โคโรน่าอะเป็นไวรัส แต่โคตรน่ารักอะเป็นเธอ
หน้ากากอะ ต้านไวรัส แต่เธอน่ารักอะ เราต้านไม่ไหว
มองรูปเราให้ชินก่อนนะ เดี๋ยวตอนนั่งสบตาจะได้ไม่เขิน
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
เธอๆ ขอแขนหน่อย “แขนเป็นฟันฉอ” ขอเป็นแฟนฉัน!!
ตัวเล็กสเปคใครไม่รู้ แต่ตัวประมาณหนูนี่สเปคพี่ปะคะ
กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
เราชอบตัวเองตอนเผลอ แล้วเธอชอบเราตอนไหน
ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ๆ หน่อยอยากกอด
ถ้าชอบก็บอกกันตรงๆ ไม่ต้องเอาปากกามาวงมันเลอะเทอะ 
อ่อนแอก็แพ้ไป คนไหวเขาจะยืน
เป็นผู้หญิงสตรอง ผู้ชายไม่มองต้องเดินชน
เป็นคนอื่นเป็นได้ไม่นาน เป็นตัวเองเป็นได้ตลอดไป
คนอะไรสวยไม่รู้จักพัก น่ารักไม่รู้จักพอ
ชอบกินน้ำเป็นขวด หรือชอบน้ำที่กรวดไปให้คะ
โตมาถึงได้รู้ว่าชินจังไม่ใช่การ์ตูน แต่เป็นความรู้สึก
ลองไม่พยายามตามหาความรักดูสิ เดี๋ยวสักวันความรักจะตามหาเราเอง
"อยู่ ๆ ก็โสด แต่เส้นผ่านศูนย์กลางโลกก็ 12,742.02 กิโลเมตร เท่าเดิม อื้ม..ไม่เห็นมันจะมีผลอะไรต่อโลกของเราเลย"
โดนเทแล้วไง เติมใหม่เดี๋ยวก็เต็ม
โลกนี้ไม่มีที่ยืนสำหรับคนอ่อนแอ งั้นไม่เป็นไรเรานั่งก็ได้ เราเก่ง
กลับไปมอง อย่าย้อนกลับไปเดิน
ไม่อยากมีใครให้ใจพัง
ความสวยไม่คงที่ แอปที่ว่าดีเลยต้องโหลดมาใช้
สวยอย่างมีสไตล์ เพื่อผู้ชายมีสตางค์
อย่าเรียกว่าขึ้นคาน ให้เรียกว่าผู้เชี่ยวชาญในการเลือกแฟน 
นู่นทะเล นี่ก็เขา แล้วคำว่าเราอะอยู่ไหน
